 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Jegfatter ikke hvordan noget så dufter så godt, kan smage så frygteligt..
1-1	Jeg	jeg	PP:s-nc:--:-1n-	O	
1-2	fatter	fatte	VF:----:sa:----	B-verb.cognition	
1-3	ikke	ikke	D-:----:--:u---	O	
1-4	hvordan	hvordan	D-:----:--:u---	O	
1-5	noget	nogen	PI:s-un:--:----	O	
1-6	så	så	D-:----:--:u---	O	
1-7	dufter	dufte	VF:----:sa:----	O	
1-8	så	så	D-:----:--:u---	O	
1-9	godt	god	AD:----:--:p---	B-adj.all	
1-10	,	,	ZD	O	
1-11	kan	kunne	VF:----:sa:----	B-verb.social	
1-12	smage	smage	VI:----:-a:----	B-verb.phenomenon	
1-13	så	så	D-:----:--:u---	O	
1-14	frygteligt	frygtelig	AC:siun:--:p---	B-adj.phys	
1-15	.	.	ZP	O	
1-16	.	.	ZP	O	

#id=2
#text=Yndlingsfag må blive dansk, historie og samfundsfag.
2-1	Yndlings	yndling	NW:----:--:----	B-noun.person	
2-2	fag	fag	NC:piu#:--:----	B-noun.domain|B-noun.artifact	
2-3	må	måtte	VF:----:sa:----	B-verb.cognition|B-verb.emotion|B-verb.phenomenon	
2-4	blive	blive	VI:----:-a:----	B-verb.motion|B-verb.act|B-verb.stative|B-verb.phenomenon|B-verb.change|B-verb.TOP	
2-5	dansk	dansk	AC:siu§:--:p---	B-adj.social|B-adj.phys	
2-6	,	,	ZD	O	
2-7	historie	historie	NC:siuc:--:----	B-noun.event|B-noun.communication|B-noun.phenomenon|B-noun.act|B-noun.domain	
2-8	og	og	CC:----:--:----	O	
2-9	samfundsfag	samfundsfag	NC:siun:--:----	B-noun.domain	
2-10	.	.	ZP	O	

#id=3
#text=lol,humor :D
3-1	lol	lol	NC:piu#:--:----	O	
3-2	,	,	ZD	O	
3-3	humor	humor	NC:siuc:--:----	B-noun.attribute|B-noun.feeling	
3-4	:	:	ZP	O	
3-5	D	D	PP:s-un:--:-3n-	O	

#id=4
#text=doh, først troede jeg lige at determinisme skulle læses i flere ord:
4-1	doh	doh	XY:----:--:----	O	
4-2	,	,	XY:----:--:----	O	
4-3	først	først	XY:----:--:----	O	
4-4	troede	troede	XY:----:--:----	O	
4-5	jeg	jeg	XY:----:--:----	O	
4-6	lige	lige	XY:----:--:----	O	
4-7	at	at	XY:----:--:----	O	
4-8	determinisme	determinisme	XY:----:--:----	O	
4-9	skulle	skulle	XY:----:--:----	O	
4-10	læses	læses	XY:----:--:----	O	
4-11	i	i	XY:----:--:----	O	
4-12	flere	flere	XY:----:--:----	O	
4-13	ord	ord	XY:----:--:----	O	
4-14	:	:	XY:----:--:----	O	

#id=5
#text=Os' under begavede vil også gerne være med ;) *G*
5-1	Os	Os	XY:----:--:----	O	
5-2	'	'	ZA	O	
5-3	under	under	T-:----:--:----	O	
5-4	begavede	begave	VP:p#u#:t-:----	O	
5-5	vil	ville	VF:----:sa:----	B-verb.cognition	
5-6	også	også	D-:----:--:u---	O	
5-7	gerne	gerne	D-:----:--:u---	O	
5-8	være	være	VI:----:-a:----	B-verb.TOP|B-verb.social|B-verb.stative	
5-9	med	med	T-:----:--:----	O	
5-10	;	;	ZP	O	
5-11	)	)	ZD	O	
5-12	*G*	*G*	NP:siu#:--:----	O	

#id=6
#text=Stik mig din adresse og jeg kommer med min rengøringsvogn ;) eller...
6-1	Stik	stikke	VM:----:--:----	B-verb.motion|B-verb.communication|B-verb.change|B-verb.act|B-verb.creation|B-verb.phenomenon	
6-2	mig	jeg	PP:s-uc:--:-1#-	O	
6-3	din	din	XY:----:--:----	O	
6-4	adresse	adresse	NC:siuc:--:----	B-noun.communication	
6-5	og	og	CC:----:--:----	O	
6-6	jeg	jeg	PP:s-nc:--:-1n-	O	
6-7	kommer	komme	VF:----:sa:----	B-verb.social|B-verb.communication|B-verb.act|B-verb.motion	
6-8	med	med	T-:----:--:----	O	
6-9	min	min	PO:s--c:--:-1ns	O	
6-10	rengøringsvogn	rengøringsvogn	NC:siuc:--:----	O	
6-11	;	;	ZP	O	
6-12	)	)	ZD	O	
6-13	eller	eller	CC:----:--:----	O	
6-14	.	.	ZP	O	
6-15	.	.	ZP	O	
6-16	.	.	ZP	O	

#id=7
#text=Deter udelukkende et spørgsmål om hvor fucked-up læreren er...
7-1	Det	det	PP:s-un:--:-3n-	O	
7-2	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
7-3	udelukkende	udelukkende	D-:----:--:u---	O	
7-4	et	en	PI:s-un:--:----	O	
7-5	spørgsmål	spørgsmål	NC:siun:--:----	B-noun.act|B-noun.cognition	
7-6	om	om	T-:----:--:----	O	
7-7	hvor	hvor	D-:----:--:u---	O	
7-8	fucked	fucked	AC:siu§:--:p---	O	
7-9	-	-	ZH	O	
7-10	up	up	XF:----:--:----	O	
7-11	læreren	lærer	NC:sduc:--:----	B-noun.person	
7-12	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
7-13	.	.	ZP	O	
7-14	.	.	ZP	O	
7-15	.	.	ZP	O	

#id=8
#text=Jeg købte fx nogle smykker - en broche, og nogle armbånd til 100 kr., og på billedet så de gamle og småantikke ud, men så viser det sig at være sådan noget nyt noget, og jeg tvivler på at sælgeren selv har givet 100 kr. for det, og det ene armbånd var bare en hårelastik med noget tingeltangel på? lol.. :I
8-1	Jeg	jeg	PP:s-nc:--:-1n-	O	
8-2	købte	købe	VF:----:ta:----	B-verb.possession|B-verb.act	
8-3	fx	fx	D-:----:--:u---	O	
8-4	nogle	nogen	PI:p-u#:--:----	O	
8-5	smykker	smykke	NC:piu#:--:----	B-noun.artifact	
8-6	-	-	NC:piu#:--:----	O	
8-7	en	en	PI:s-uc:--:----	O	
8-8	broche	broche	NC:siuc:--:----	B-noun.artifact	
8-9	,	,	ZD	O	
8-10	og	og	CC:----:--:----	O	
8-11	nogle	nogen	PI:p-u#:--:----	O	
8-12	armbånd	armbånd	NC:piu#:--:----	B-noun.artifact	
8-13	til	til	T-:----:--:----	O	
8-14	100	100	LC:--u-:--:----	O	
8-15	kr	krone	----	O	
8-16	.	.	ZP	O	
8-17	,	,	ZD	O	
8-18	og	og	CC:----:--:----	O	
8-19	på	på	T-:----:--:----	O	
8-20	billedet	billede	NC:sdun:--:----	B-noun.object|B-noun.artifact|B-noun.cognition	
8-21	så	så	D-:----:--:u---	O	
8-22	de	den	PM:p-u#:--:----	O	
8-23	gamle	gammel	AC:p#u#:--:p---	B-adj.time	
8-24	og	og	CC:----:--:----	O	
8-25	småantikke	småantik	AC:p#u#:--:p---	O	
8-26	ud	ud	D-:----:--:u---	O	
8-27	,	,	ZD	O	
8-28	men	men	CC:----:--:----	O	
8-29	så	så	D-:----:--:u---	O	
8-30	viser	vise	VF:----:sa:----	B-verb.act|B-verb.communication|B-verb.social	
8-31	det	det	PP:s-un:--:-3n-	O	
8-32	sig	sig	PP:#-u#:--:-3y-	O	
8-33	at	at	UI:----:--:----	O	
8-34	være	være	VI:----:-a:----	B-verb.TOP|B-verb.social|B-verb.stative	
8-35	sådan	sådan	D-:----:--:u---	O	
8-36	noget	nogen	PI:s-un:--:----	O	
8-37	nyt	ny	AC:siun:--:p---	B-adj.time	
8-38	noget	nogen	PI:s-un:--:----	O	
8-39	,	,	ZD	O	
8-40	og	og	CC:----:--:----	O	
8-41	jeg	jeg	PP:s-nc:--:-1n-	O	
8-42	tvivler	tvivle	VF:----:sa:----	B-verb.cognition|B-verb.emotion	
8-43	på	på	T-:----:--:----	O	
8-44	at	at	CS:----:--:----	O	
8-45	sælgeren	sælger	NC:sduc:--:----	B-noun.person	
8-46	selv	selv	PM:#-u#:--:----	O	
8-47	har	have	VF:----:sa:----	B-verb.perception|B-verb.communication|B-verb.cognition|B-verb.act|B-verb.phenomenon|B-verb.TOP	
8-48	givet	give	VT:siu#:t-:----	B-verb.possession|B-verb.communication|B-verb.act	
8-49	100	100	LC:--u-:--:----	O	
8-50	kr	krone	NC:piu#:--:----	O	
8-51	.	.	ZP	O	
8-52	for	for	T-:----:--:----	O	
8-53	det	det	PP:s-un:--:-3n-	O	
8-54	,	,	ZD	O	
8-55	og	og	CC:----:--:----	O	
8-56	det	den	PM:s-un:--:----	O	
8-57	ene	ene	AC:§§u§:--:p---	O	
8-58	armbånd	armbånd	NC:siun:--:----	B-noun.artifact	
8-59	var	være	VF:----:ta:----	B-verb.TOP|B-verb.social|B-verb.stative	
8-60	bare	bare	D-:----:--:u---	O	
8-61	en	en	PI:s-uc:--:----	O	
8-62	hårelastik	hårelastik	NC:siuc:--:----	O	
