 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=*Finder allerede bræk-spanden frem* lol, jeg skulle ikke snakke:
1-1	*Finder	B-verb.act	
1-2	allerede	O	
1-3	bræk	B-noun.container	
1-4	-	I-noun.container	
1-5	spanden	I-noun.container	
1-6	frem*	B-verb.PARTICLE	
1-7	lol	O	
1-8	,	O	
1-9	jeg	O	
1-10	skulle	B-verb.emotion	
1-11	ikke	O	
1-12	snakke	B-verb.communication	
1-13	:	O	

#id=2
#text=Er vidst mere til... noget mindre dansk
2-1	Er	O	
2-2	vidst	O	
2-3	mere	O	
2-4	til	O	
2-5	.	O	
2-6	.	O	
2-7	.	O	
2-8	noget	O	
2-9	mindre	O	
2-10	dansk	O	

#id=3
#text=Ret synd.
3-1	Ret	O	
3-2	synd	O	
3-3	.	O	

#id=4
#text=Nærmere www.kseniaerdapaininthehole.biz :-))
4-1	Nærmere	O	
4-2	www	O	
4-3	.	O	
4-4	kseniaerdapaininthehole	O	
4-5	.	O	
4-6	biz	O	
4-7	:	O	
4-8	-	O	
4-9	)	O	
4-10	)	O	

#id=5
#text=I can do better! ;)
5-1	I	O	
5-2	can	O	
5-3	do	O	
5-4	better	O	
5-5	!	O	
5-6	;	O	
5-7	)	O	

#id=6
#text=Oghallo!!
6-1	Og	O	
6-2	hallo	O	
6-3	!	O	
6-4	!	O	

#id=7
#text=Bonjour...
7-1	Bonjour	O	
7-2	.	O	
7-3	.	O	
7-4	.	O	

#id=8
#text=Ved ikke hvorfor, det er ikke fordi at jeg behøver det store af vækkeur (har 1, men vågner altid ligefør det skal til at ringe.. :-)) underligt noget René
8-1	Ved	O	
8-2	ikke	O	
8-3	hvorfor	O	
8-4	,	O	
8-5	det	O	
8-6	er	O	
8-7	ikke	O	
8-8	fordi	O	
8-9	at	O	
8-10	jeg	O	
8-11	behøver	O	
8-12	det	O	
8-13	store	O	
8-14	af	O	
8-15	vækkeur	O	
8-16	(	O	
8-17	har	O	
8-18	1	O	
8-19	,	O	
8-20	men	O	
8-21	vågner	O	
8-22	altid	O	
8-23	ligefør	O	
8-24	det	O	
8-25	skal	O	
8-26	til	O	
8-27	at	O	
8-28	ringe	O	
8-29	.	O	
8-30	.	O	
8-31	:	O	
8-32	-	O	
8-33	)	O	
8-34	)	O	
8-35	underligt	O	
8-36	noget	O	
8-37	René	O	

#id=9
#text=Kan godt følge dig..
9-1	Kan	O	
9-2	godt	O	
9-3	følge	O	
9-4	dig	O	
9-5	.	O	
9-6	.	O	

#id=10
#text=Det lyder skam som en god idé det du siger, og det nok også rigtigt :D  Men som jeg sagde vil jeg ik' gøre det pga. andre har haft gode erfaringer med det fordi det  er jo ik' sikkert det samme sker for mig :D Regner nok med jeg tar' på gymn for det er nok det jeg "føler" mest for.
10-1	Det	O	
10-2	lyder	O	
10-3	skam	O	
10-4	som	O	
10-5	en	O	
10-6	god	O	
10-7	idé	O	
10-8	det	O	
10-9	du	O	
10-10	siger	O	
10-11	,	O	
10-12	og	O	
10-13	det	O	
10-14	nok	O	
10-15	også	O	
10-16	rigtigt	O	
10-17	:	O	
10-18	D	O	
10-19	Men	O	
10-20	som	O	
10-21	jeg	O	
10-22	sagde	O	
10-23	vil	O	
10-24	jeg	O	
10-25	ik	O	
10-26	'	O	
10-27	gøre	O	
10-28	det	O	
10-29	pga	O	
10-30	.	O	
10-31	andre	O	
10-32	har	O	
10-33	haft	O	
10-34	gode	O	
10-35	erfaringer	O	
10-36	med	O	
10-37	det	O	
10-38	fordi	O	
10-39	det	O	
10-40	er	O	
10-41	jo	O	
10-42	ik	O	
10-43	'	O	
10-44	sikkert	O	
10-45	det	O	
10-46	samme	O	
10-47	sker	O	
10-48	for	O	
10-49	mig	O	
10-50	:	O	
10-51	D	O	
10-52	Regner	O	
10-53	nok	O	
10-54	med	O	
10-55	jeg	O	
10-56	tar	O	
10-57	'	O	
10-58	på	O	
10-59	gymn	O	
