 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=kanheller ikke lide varme drikke.. som the, kaffe, kakao osv..
1-1	kan	B-verb.social	kunne	VF:----:sa:----	
1-2	heller	O	heller	D-:----:--:u---	
1-3	ikke	O	ikke	D-:----:--:u---	
1-4	lide	B-verb.phenomenon|B-verb.emotion	lide	VI:----:-a:----	
1-5	varme	B-adj.all|B-adj.phys	varm	AC:p#u#:--:p---	
1-6	drikke	B-noun.quantity|B-noun.food	drik	NC:piu#:--:----	
1-7	.	O	.	ZP	
1-8	.	O	.	ZP	
1-9	som	O	som	US:----:--:----	
1-10	the	O	the	XF:----:--:----	
1-11	,	O	,	ZD	
1-12	kaffe	B-noun.act|B-noun.food|B-noun.container|B-noun.plant	kaffe	NC:siuc:--:----	
1-13	,	O	,	ZD	
1-14	kakao	B-noun.food	kakao	NC:siuc:--:----	
1-15	osv	O	osv	D-:----:--:u---	
1-16	.	O	.	ZP	
1-17	.	O	.	ZP	

#id=2
#text=Jegkøbte en masse af de der sten i Tunesien da jeg var på ferie der, men har alrig rigtig brugt dem?
2-1	Jeg	O	jeg	PP:s-nc:--:-1n-	
2-2	købte	B-verb.possession|B-verb.act	købe	VF:----:ta:----	
2-3	en	O	en	PI:s-uc:--:----	
2-4	masse	B-noun.quantity|B-noun.substance	masse	NC:siuc:--:----	
2-5	af	O	af	T-:----:--:----	
2-6	de	O	den	PM:p-u#:--:----	
2-7	der	O	der	D-:----:--:u---	
2-8	sten	B-noun.object|B-noun.plant|B-noun.artifact|B-noun.body	sten	NC:siuc:--:----	
2-9	i	O	i	T-:----:--:----	
2-10	Tunesien	O	Tunesien	NP:siu#:--:----	
2-11	da	O	da	CS:----:--:----	
2-12	jeg	O	jeg	PP:s-nc:--:-1n-	
2-13	var	B-verb.TOP|B-verb.social|B-verb.stative	være	VF:----:ta:----	
2-14	på	O	på	T-:----:--:----	
2-15	ferie	B-noun.time	ferie	NC:siuc:--:----	
2-16	der	O	der	US:----:--:----	
2-17	,	O	,	ZD	
2-18	men	O	men	CC:----:--:----	
2-19	har	B-verb.perception|B-verb.act|B-verb.communication|B-verb.phenomenon|B-verb.cognition|B-verb.TOP	have	VF:----:sa:----	
2-20	alrig	O	alrig	AC:siuc:--:p---	
2-21	rigtig	B-adj.phys	rigtig	AC:siuc:--:p---	
2-22	brugt	O	brugt	AC:siu§:--:p---	
2-23	dem	O	de	PP:p-u#:--:-3n-	
2-24	?	O	?	ZQ	

#id=3
#text=Måske derfor?..
3-1	Måske	O	måske	D-:----:--:u---	
3-2	derfor	O	derfor	D-:----:--:u---	
3-3	?	O	?	ZQ	
3-4	.	O	.	ZP	
3-5	.	O	.	ZP	

#id=4
#text=Nej, giver dig ret :o
4-1	Nej	O	nej	I-:----:--:----	
4-2	,	O	,	ZD	
4-3	giver	B-verb.possession|B-verb.communication|B-verb.act	give	VF:----:sa:----	
4-4	dig	O	du	PP:s-uc:--:-2#-	
4-5	ret	O	ret	D-:----:--:u---	
4-6	:	O	:	ZP	
4-7	o	O	o	XF:----:--:----	

#id=5
#text=Tja, sådan er det vel?! lol
5-1	Tja	O	tja	I-:----:--:----	
5-2	,	O	,	ZD	
5-3	sådan	O	sådan	D-:----:--:u---	
5-4	er	B-verb.TOP|B-verb.social|B-verb.stative	være	VF:----:sa:----	
5-5	det	O	det	PP:s-un:--:-3n-	
5-6	vel	O	vel	D-:----:--:u---	
5-7	?	O	?	ZQ	
5-8	!	O	!	ZP	
5-9	lol	O	lol	NC:siuc:--:----	

#id=6
#text=- Og optimistisk om sommeren, eller? :shock:
6-1	-	O	-	ZH	
6-2	Og	O	og	CC:----:--:----	
6-3	optimistisk	B-adj.mental	optimistisk	AC:siu§:--:p---	
6-4	om	O	om	T-:----:--:----	
6-5	sommeren	B-noun.time	sommer	NC:sduc:--:----	
6-6	,	O	,	ZD	
6-7	eller	O	eller	XY:----:--:----	
6-8	?	O	?	ZQ	
6-9	:	O	:	ZP	
6-10	shock	O	shock	XS:----:--:----	
6-11	:	O	:	ZP	

#id=7
#text=Hehe, er det ikke altid sådan? :)
7-1	Hehe	O	Hehe	NP:siu#:--:----	
7-2	,	O	,	ZD	
7-3	er	B-verb.TOP|B-verb.social|B-verb.stative	være	VF:----:sa:----	
7-4	det	O	det	PP:s-un:--:-3n-	
7-5	ikke	O	ikke	D-:----:--:u---	
7-6	altid	O	altid	D-:----:--:u---	
7-7	sådan	O	sådan	D-:----:--:u---	
7-8	?	O	?	ZQ	
7-9	:	O	:	ZP	
7-10	)	O	)	ZD	

#id=8
#text=Helene, dit sexdyr! size=9:ffab5d0287)rofl./size:ffab5d0287)
8-1	Helene	O	Helene	NP:siu#:--:----	
8-2	,	O	,	ZD	
8-3	dit	O	dit	XY:----:--:----	
8-4	sexdyr	O	sexdyr	NC:piu#:--:----	
8-5	!	O	!	ZP	
8-6	size=9	O	size=9	NP:siu#:--:----	
8-7	:	O	:	ZP	
8-8	ffab5d0287	O	ffab5d0287	NP:siu#:--:----	
8-9	)	O	)	ZD	
8-10	rofl	O	romange	AC:##u#:--:c---	
8-11	.	O	.	ZP	
8-12	/	O	/	NC:siuc:--:----	
8-13	size	O	size	AC:§§u§:--:p---	
8-14	:	O	:	ZP	
8-15	ffab5d0287	O	ffab5d0287	NP:siu#:--:----	
8-16	)	O	)	ZD	

#id=9
#text=Jeggår i gymnasiet, i B.
9-1	Jeg	O	jeg	PP:s-nc:--:-1n-	
9-2	går	B-verb.change|B-verb.act|B-verb.motion|B-verb.stative	gå	VF:----:sa:----	
9-3	i	O	i	T-:----:--:----	
9-4	gymnasiet	B-noun.institution|B-noun.building	gymnasium	NC:sdun:--:----	
9-5	,	O	,	ZD	
9-6	i	O	i	T-:----:--:----	
9-7	B	B-noun.communication|B-noun.phenomenon	B	NP:siu#:--:----	
9-8	.	O	.	ZP	

#id=10
#text=Som sagt tidligere - Held og Lykke, kærligheden er den vidunderligste ting, der kan overkomme 2 personer..
10-1	Som	O	som	US:----:--:----	
10-2	sagt	B-verb.cognition|B-verb.communication|B-verb.phenomenon	sige	VT:siu#:t-:----	
10-3	tidligere	B-adj.time	tidlig	AC:##u#:--:c---	
10-4	-	O	-	NC:piu#:--:----	
10-5	Held	B-noun.act|B-noun.TOP|B-noun.phenomenon	held	NC:siun:--:----	
10-6	og	O	og	CC:----:--:----	
10-7	Lykke	B-noun.feeling	LYKKE	NP:siu#:--:----	
10-8	,	O	,	ZD	
10-9	kærligheden	B-noun.person|B-noun.feeling	kærlighed	NC:sduc:--:----	
10-10	er	B-verb.TOP|B-verb.social|B-verb.stative	være	VF:----:sa:----	
10-11	den	O	den	PM:s-uc:--:----	
10-12	vidunderligste	O	vidunderligste	XY:----:--:----	
10-13	ting	B-noun.object|B-noun.TOP|B-noun.person|B-noun.artifact	ting	NC:siun:--:----	
10-14	,	O	,	ZD	
10-15	der	O	der	US:----:--:----	
10-16	kan	B-verb.social	kunne	VF:----:sa:----	
10-17	overkomme	O	overkomme	VI:----:-a:----	
10-18	2	O	2	LC:--u-:--:----	
10-19	personer	B-noun.person	person	NC:piu#:--:----	
10-20	.	O	.	ZP	
10-21	.	O	.	ZP	

#id=11
#text=Jegtog en dag ind i byen efter skole, satte mig ind på Burger King, bestilte en kop kaffe, og satte mig til at tænke, mens jeg kiggede på alle de mennesker der gik forbi.
11-1	Jeg	O	jeg	PP:s-nc:--:-1n-	
11-2	tog	B-verb.motion|B-verb.act|B-verb.creation|B-verb.social|B-verb.cognition|B-verb.change|B-verb.possession	tage	VF:----:ta:----	
11-3	en	O	en	PI:s-uc:--:----	
11-4	dag	B-noun.time	dag	NC:siuc:--:----	
11-5	ind	O	ind	D-:----:--:u---	
11-6	i	O	i	T-:----:--:----	
11-7	byen	B-noun.location|B-noun.artifact|B-noun.person	by	NC:sduc:--:----	
11-8	efter	O	efter	T-:----:--:----	
11-9	skole	B-noun.institution|B-noun.building|B-noun.person|B-noun.domain	skole	NC:siuc:--:----	
11-10	,	O	,	ZD	
11-11	satte	B-verb.motion|B-verb.cognition|B-b.act|B-verb.communication|B-verb.change|B-verb.phenomenon	sætte	VF:----:ta:----	
11-12	mig	O	jeg	PP:s-uc:--:-1#-	
11-13	ind	O	ind	D-:----:--:u---	
11-14	på	O	på	T-:----:--:----	
11-15	Burger	B-noun.food	burger	NC:siuc:--:----	
11-16	King	O	King	NP:siu#:--:----	
11-17	,	O	,	ZD	
11-18	bestilte	B-verb.act|B-verb.communication	bestille	VF:----:ta:----	
11-19	en	O	en	PI:s-uc:--:----	
11-20	kop	B-noun.quantity|B-noun.artifact|B-noun.container	kop	NC:siuc:--:----	
11-21	kaffe	B-noun.act|B-noun.container|B-noun.food|B-noun.plant	kaffe	NC:siuc:--:----	
11-22	,	O	,	ZD	
11-23	og	O	og	CC:----:--:----	
11-24	satte	B-verb.motion|B-verb.act|B-verb.communication|B-verb.change|B-verb.cognition|B-verb.phenomenon	sætte	VF:----:ta:----	
11-25	mig	O	jeg	PP:s-uc:--:-1#-	
11-26	til	O	til	T-:----:--:----	
11-27	at	O	at	UI:----:--:----	
11-28	tænke	B-verb.cognition|B-verb.act	tænke	VI:----:-a:----	
11-29	,	O	,	ZD	
11-30	mens	O	mens	CS:----:--:----	
11-31	jeg	O	jeg	PP:s-nc:--:-1n-	
11-32	kiggede	B-verb.phenomenon|B-verb.act|B-verb.communication|B-verb.cognition	kigge	VF:----:ta:----	
11-33	på	O	på	T-:----:--:----	
11-34	alle	O	al	PI:p-u#:--:----	
11-35	de	O	den	PM:p-u#:--:----	
11-36	mennesker	B-noun.person	menneske	NC:piu#:--:----	
11-37	der	O	der	US:----:--:----	
11-38	gik	B-verb.change|B-verb.motion|B-verb.act|B-verb.stative	gå	VF:----:ta:----	
11-39	forbi	O	forbi	T-:----:--:----	
11-40	.	O	.	ZP	

#id=12
#text=Jeg finder arbejdet i dansk timerne interessant, engelsk er godt? og  musik er så hyggeligt, og et dejligt afbræk på en skoledag..
12-1	Jeg	O	jeg	PP:s-nc:--:-1n-	
12-2	finder	B-verb.phenomenon|B-verb.cognition|B-verb.act|B-verb.motion	finde	VF:----:sa:----	
12-3	arbejdet	B-verb.social	arbejde	VT:siu#:t-:----	
12-4	i	O	i	T-:----:--:----	
12-5	dansk	B-adj.social|B-adj.phys	dansk	AC:siu§:--:p---	
12-6	timerne	B-noun.time|B-noun.artifact	time	NC:pdu#:--:----	
12-7	interessant	B-adj.mental|B-adj.all	interessant	AC:siu§:--:p---	
12-8	,	O	,	ZD	
12-9	engelsk	B-noun.domain|B-noun.communication	engelsk	NC:siun:--:----	
12-10	er	B-verb.TOP|B-verb.social|B-verb.stative	være	VF:----:sa:----	
12-11	godt	B-adj.all	god	AD:----:--:p---	
12-12	?	O	?	XY:----:--:----	
12-13	og	O	og	CC:----:--:----	
12-14	musik	B-noun.domain	musik	NC:siuc:--:----	
12-15	er	B-verb.TOP|B-verb.social|B-verb.stative	være	VF:----:sa:----	
12-16	så	O	så	D-:----:--:u---	
12-17	hyggeligt	B-adj.phys	hyggelig	AC:siun:--:p---	
12-18	,	O	,	ZD	
12-19	og	O	og	CC:----:--:----	
