 # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Jegfatter ikke hvordan noget så dufter så godt, kan smage så frygteligt..
1-1	Jeg	O	
1-2	fatter	B-verb.cognition	
1-3	ikke	O	
1-4	hvordan	O	
1-5	noget	O	
1-6	så	O	
1-7	dufter	B-verb.phenomenon	
1-8	så	O	
1-9	godt	B-adj.phys	
1-10	,	O	
1-11	kan	O	
1-12	smage	B-verb.phenomenon	
1-13	så	O	
1-14	frygteligt	B-adj.phys	
1-15	.	O	
1-16	.	O	

#id=2
#text=Yndlingsfag må blive dansk, historie og samfundsfag.
2-1	Yndlings	O	
2-2	fag	O	
2-3	må	O	
2-4	blive	O	
2-5	dansk	O	
2-6	,	O	
2-7	historie	O	
2-8	og	O	
2-9	samfundsfag	O	
2-10	.	O	

#id=3
#text=lol,humor :D
3-1	lol	O	
3-2	,	O	
3-3	humor	O	
3-4	:	O	
3-5	D	O	

#id=4
#text=doh, først troede jeg lige at determinisme skulle læses i flere ord:
4-1	doh	O	
4-2	,	O	
4-3	først	O	
4-4	troede	O	
4-5	jeg	O	
4-6	lige	O	
4-7	at	O	
4-8	determinisme	O	
4-9	skulle	O	
4-10	læses	O	
4-11	i	O	
4-12	flere	O	
4-13	ord	O	
4-14	:	O	

#id=5
#text=Os' under begavede vil også gerne være med ;) *G*
5-1	Os	O	
5-2	'	O	
5-3	under	O	
5-4	begavede	O	
5-5	vil	O	
5-6	også	O	
5-7	gerne	O	
5-8	være	O	
5-9	med	O	
5-10	;	O	
5-11	)	O	
5-12	*G*	O	

#id=6
#text=Stik mig din adresse og jeg kommer med min rengøringsvogn ;) eller...
6-1	Stik	O	
6-2	mig	O	
6-3	din	O	
6-4	adresse	O	
6-5	og	O	
6-6	jeg	O	
6-7	kommer	O	
6-8	med	O	
6-9	min	O	
6-10	rengøringsvogn	O	
6-11	;	O	
6-12	)	O	
6-13	eller	O	
6-14	.	O	
6-15	.	O	
6-16	.	O	

#id=7
#text=Deter udelukkende et spørgsmål om hvor fucked-up læreren er...
7-1	Det	O	
7-2	er	O	
7-3	udelukkende	O	
7-4	et	O	
7-5	spørgsmål	O	
7-6	om	O	
7-7	hvor	O	
7-8	fucked	O	
7-9	-	O	
7-10	up	O	
7-11	læreren	O	
7-12	er	O	
7-13	.	O	
7-14	.	O	
7-15	.	O	

#id=8
#text=Jeg købte fx nogle smykker - en broche, og nogle armbånd til 100 kr., og på billedet så de gamle og småantikke ud, men så viser det sig at være sådan noget nyt noget, og jeg tvivler på at sælgeren selv har givet 100 kr. for det, og det ene armbånd var bare en hårelastik med noget tingeltangel på? lol.. :I
8-1	Jeg	O	
8-2	købte	O	
8-3	fx	O	
8-4	nogle	O	
8-5	smykker	O	
8-6	-	O	
8-7	en	O	
8-8	broche	O	
8-9	,	O	
8-10	og	O	
8-11	nogle	O	
8-12	armbånd	O	
8-13	til	O	
8-14	100	O	
8-15	kr	O	
8-16	.	O	
8-17	,	O	
8-18	og	O	
8-19	på	O	
8-20	billedet	O	
8-21	så	O	
8-22	de	O	
8-23	gamle	O	
8-24	og	O	
8-25	småantikke	O	
8-26	ud	O	
8-27	,	O	
8-28	men	O	
8-29	så	O	
8-30	viser	O	
8-31	det	O	
8-32	sig	O	
8-33	at	O	
8-34	være	O	
8-35	sådan	O	
8-36	noget	O	
8-37	nyt	O	
8-38	noget	O	
8-39	,	O	
8-40	og	O	
8-41	jeg	O	
8-42	tvivler	O	
8-43	på	O	
8-44	at	O	
8-45	sælgeren	O	
8-46	selv	O	
8-47	har	O	
8-48	givet	O	
8-49	100	O	
8-50	kr	O	
8-51	.	O	
8-52	for	O	
8-53	det	O	
8-54	,	O	
8-55	og	O	
8-56	det	O	
8-57	ene	O	
8-58	armbånd	O	
8-59	var	O	
8-60	bare	O	
8-61	en	O	
8-62	hårelastik	O	
8-63	med	O	
8-64	noget	O	
8-65	tingeltangel	O	
8-66	på	O	
8-67	?	O	
8-68	lol	O	
8-69	.	O	
8-70	.	O	
8-71	:	O	
8-72	I	O	

#id=9
#text=Der er bare en hel afdeling med neon-farver...
9-1	Der	O	
9-2	er	O	
9-3	bare	O	
9-4	en	O	
9-5	hel	O	
9-6	afdeling	O	
9-7	med	O	
9-8	neon	O	
9-9	-	O	
9-10	farver	O	
9-11	.	O	
9-12	.	O	
9-13	.	O	

#id=10
#text=Stakkelsko :(
10-1	Stakkels	O	
10-2	ko	O	
10-3	:	O	
10-4	(	O	

#id=11
#text=Haha.
11-1	Haha	O	
11-2	.	O	

#id=12
#text=Imens du venter kan du evt. lægge to skiver agurk på øjnene, for at friske dem op (Naturens gave til mig, der ligner en med hangovers 24/7) - Ansigtsmasken skal skylles forsigtigt af bagefter.
12-1	Imens	O	
12-2	du	O	
12-3	venter	O	
12-4	kan	O	
12-5	du	O	
12-6	evt	O	
12-7	.	O	
12-8	lægge	O	
12-9	to	O	
12-10	skiver	O	
12-11	agurk	O	
12-12	på	O	
12-13	øjnene	O	
12-14	,	O	
12-15	for	O	
12-16	at	O	
12-17	friske	O	
12-18	dem	O	
12-19	op	O	
12-20	(	O	
12-21	Naturens	O	
12-22	gave	O	
12-23	til	O	
12-24	mig	O	
12-25	,	O	
12-26	der	O	
12-27	ligner	O	
12-28	en	O	
12-29	med	O	
12-30	hangovers	O	
12-31	24	O	
12-32	/	O	
12-33	7	O	
12-34	)	O	
12-35	-	O	
12-36	Ansigtsmasken	O	
12-37	skal	O	
12-38	skylles	O	
12-39	forsigtigt	O	
12-40	af	O	
12-41	bagefter	O	
12-42	.	O	

#id=13
#text=Ja, det er sandt nok!
13-1	Ja	O	
13-2	,	O	
13-3	det	O	
13-4	er	O	
13-5	sandt	O	
13-6	nok	O	
13-7	!	O	

#id=14
#text=Jomen hvis nogen har dem og vil af med dem til billige penge så vil jeg da hellere have dem brugt ;)
14-1	Jo	O	
14-2	men	O	
14-3	hvis	O	
14-4	nogen	O	
14-5	har	O	
14-6	dem	O	
14-7	og	O	
14-8	vil	O	
14-9	af	O	
14-10	med	O	
14-11	dem	O	
14-12	til	O	
14-13	billige	O	
14-14	penge	O	
14-15	så	O	
14-16	vil	O	
14-17	jeg	O	
14-18	da	O	
14-19	hellere	O	
14-20	have	O	
14-21	dem	O	
