 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Vier også optaget af ressourcer til Datatilsynet, i det hele taget er vi optaget af, at udvekslingen af persondataoplysninger kan ske på en betryggende og forsvarlig måde, og vi vil være meget, meget præcise, med hensyn til at det bliver sikret, at persondataoplysninger ikke havner hos tredjemand, som kan misbruge eller videregive dem, og at disse oplysninger i det hele taget ikke kan komme til at florere i uønskede fora.
1-1	Vi	vi	PP:p-nc:--:-1n-	O	
1-2	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
1-3	også	også	D-:----:--:u---	O	
1-4	optaget	optage	VT:siu#:t-:----	B-verb.stative|B-verb.phenomenon|B-verb.act|B-verb.possession	
1-5	af	af	T-:----:--:----	O	
1-6	ressourcer	ressource	NC:piu#:--:----	B-noun.attribute|B-noun.substance|B-noun.artifact	
1-7	til	til	T-:----:--:----	O	
1-8	Datatilsynet	Datatilsynet	NP:siu#:--:----	O	
1-9	,	,	ZD	O	
1-10	i	i	T-:----:--:----	O	
1-11	det	den	PM:s-un:--:----	O	
1-12	hele	hel	AC:sdu#:--:p---	B-adj.phys	
1-13	taget	tag	NC:sdun:--:----	B-noun.feeling|B-noun.artifact|B-noun.act	
1-14	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
1-15	vi	vi	PP:p-nc:--:-1n-	O	
1-16	optaget	optage	VT:siu#:t-:----	B-verb.stative|B-verb.act|B-verb.phenomenon|B-verb.possession	
1-17	af	af	T-:----:--:----	O	
1-18	,	,	ZD	O	
1-19	at	at	CS:----:--:----	O	
1-20	udvekslingen	udveksling	NC:sduc:--:----	B-noun.quantity|B-noun.communication|B-noun.act	
1-21	af	af	T-:----:--:----	O	
1-22	persondataoplysninger	persondataoplysning	NC:piu#:--:----	O	
1-23	kan	kunne	VF:----:sa:----	B-verb.social	
1-24	ske	ske	VI:----:-a:----	B-verb.phenomenon|B-verb.act	
1-25	på	på	T-:----:--:----	O	
1-26	en	en	PI:s-uc:--:----	O	
1-27	betryggende	betryggende	AC:§§u§:--:p---	O	
1-28	og	og	CC:----:--:----	O	
1-29	forsvarlig	forsvarlig	AC:siuc:--:p---	B-adj.phys	
1-30	måde	måde	NC:siuc:--:----	B-noun.motive|B-noun.TOP|B-noun.communication	
1-31	,	,	ZD	O	
1-32	og	og	CC:----:--:----	O	
1-33	vi	vi	PP:p-nc:--:-1n-	O	
1-34	vil	ville	VF:----:sa:----	B-verb.cognition	
1-35	være	være	VI:----:-a:----	B-verb.TOP|B-verb.social|B-verb.stative	
1-36	meget	megen	:--:p---	O	
1-37	,	,	ZD	O	
1-38	meget	megen	AD:----:--:p---	O	
1-39	præcise	præcis	AC:p#u#:--:p---	B-adj.all	
1-40	,	,	ZD	O	
1-41	med	med	T-:----:--:----	O	
1-42	hensyn	hensyn	NC:siun:--:----	B-noun.cognition	
1-43	til	til	T-:----:--:----	O	
1-44	at	at	CS:----:--:----	O	
1-45	det	det	PP:s-un:--:-3n-	O	
1-46	bliver	blive	VF:----:sa:----	B-verb.TOP|B-verb.act|B-verb.stative	
1-47	sikret	sikre	VT:siu#:t-:----	B-verb.possession|B-verb.act|B-verb.phenomenon|B-verb.motion	
1-48	,	,	ZD	O	
1-49	at	at	CS:----:--:----	O	
1-50	persondataoplysninger	ng	NC:piu#:--:----	O	
1-51	ikke	ikke	D-:----:--:u---	O	
1-52	havner	havne	VF:----:sa:----	B-verb.motion	
1-53	hos	hos	T-:----:--:----	O	
1-54	tredjemand	tredjemand	NC:siuc:--:----	B-un.person	
1-55	,	,	ZD	O	
1-56	som	som	US:----:--:----	O	
1-57	kan	kunne	VF:----:sa:----	B-verb.social	
1-58	misbruge	misbruge	VI:----:-a:----	B-verb.TOP|B-verb.social	
1-59	eller	eller	CC:----:--:----	O	
1-60	videregive	videregive	VI:----:-a:----	B-verb.phenomenon|B-verb.communication	
1-61	dem	de	PP:p-u#:--:-3n-	O	
