 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Idag bor de i udkanten af Silkeborg, men Thomas Mygind er ofte i hovedstaden, hvor han har sit job.
1-1	I	i	T-:----:--:----	O	
1-2	dag	dag	NC:siuc:--:----	B-noun.time	
1-3	bor	bo	VF:----:sa:----	B-verb.motion|B-verb.act|B-verb.communication	
1-4	de	de	PP:p-n#:--:-3n-	O	
1-5	i	i	T-:----:--:----	O	
1-6	udkanten	udkant	NC:sduc:--:----	B-noun.location	
1-7	af	af	T-:----:--:----	O	
1-8	Silkeborg	Silkeborg	NP:siu#:--:----	O	
1-9	,	,	ZD	O	
1-10	men	men	CC:----:--:----	O	
1-11	Thomas	Thomas	NP:siu#:--:----	O	
1-12	Mygind	Mygind	NP:siu#:--:----	O	
1-13	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
1-14	ofte	ofte	D-:----:--:u---	O	
1-15	i	i	T-:----:--:----	O	
1-16	hovedstaden	hovedstad	NC:sduc:--:----	B-noun.location	
1-17	,	,	ZD	O	
1-18	hvor	hvor	D-:----:--:u---	O	
1-19	han	han	PP:s-nc:--:-3n-	O	
1-20	har	have	VF:----:sa:----	B-verb.perception|B-verb.act|B-verb.communication|B-verb.cognition|B-verb.phenomenon|B-verb.TOP	
1-21	sit	sin	PO:s--n:--:-3ys	O	
1-22	job	job	NC:siun:--:----	B-noun.act	
1-23	.	.	ZP	O	

#id=2
#text=Karrieren går det heller ikke fantastisk med.
2-1	Karrieren	karriere	NC:sduc:--:----	B-noun.time|B-noun.TOP|B-noun.motive	
2-2	går	gå	VF:----:sa:----	B-verb.change|B-verb.act|B-verb.motion|B-verb.stative	
2-3	det	det	PP:s-un:--:-3n-	O	
2-4	heller	heller	D-:----:--:u---	O	
2-5	ikke	ikke	D-:----:--:u---	O	
2-6	fantastisk	stisk	AC:siu§:--:p---	B-adj.all	
2-7	med	med	T-:----:--:----	O	
2-8	.	.	ZP	O	

#id=3
#text=På det fyldte dansegulv beviste Patrik Wozniacki, at han skam har lært noget af sin deltagelse i " Vild med dans" i efteråret.
3-1	På	på	T-:----:--:----	O	
3-2	det	den	PM:s-un:--:----	O	
3-3	fyldte	fyldt	AC:sdu#:--:p---	O	
3-4	dansegulv	dansegulv	NC:siun:--:----	O	
3-5	beviste	bevise	VF:----:ta:----	B-verb.communication	
3-6	Patrik	Patrik	NP:siu#:--:----	O	
3-7	Wozniacki	Wozniacki	NP:siu#:--:----	O	
3-8	,	,	ZD	O	
3-9	at	at	CS:----:--:----	O	
3-10	han	han	PP:s-nc:--:-3n-	O	
3-11	skam	skam	D-:----:--:u---	O	
3-12	har	have	VF:----:sa:----	B-verb.perception|B-verb.act|B-verb.communication|B-verb.phenomenon|B-verb.cognition|B-verb.TOP	
3-13	lært	lære	VT:siu#:t-:----	B-verb.cognition|B-verb.communication	
3-14	noget	nogen	PI:s-un:--:----	O	
3-15	af	af	T-:----:--:----	O	
3-16	sin	sin	PO:s--c:--:-3ys	O	
3-17	deltagelse	deltagelse	NC:siuc:--:----	B-noun.act|B-noun.feeling	
3-18	i	i	T-:----:--:----	O	
3-19	"	"	ZI	O	
3-20	Vild	vild	AC:siuc:--:p---	B-adj.phys|B-adj.mental	
3-21	med	med	T-:----:--:----	O	
3-22	dans	dans	NC:siuc:--:----	B-noun.act|B-noun.artifact	
3-23	"	"	ZI	O	
3-24	i	i	T-:----:--:----	O	
3-25	efteråret	efterår	NC:sdun:--:----	B-noun.time	
3-26	.	.	ZP	O	

#id=4
#text=Denblomstrende forelskelse fik en brat ende, da de brød med hinanden i februar efter et halvt års kissemissen.
4-1	Den	den	PM:s-uc:--:----	O	
4-2	blomstrende	blomstre	VP:##u#:s-:----	B-verb.phenomenon	
4-3	forelskelse	forelskelse	NC:siuc:--:----	B-noun.cognition	
4-4	fik	få	VF:----:ta:----	B-verb.change|B-verb.act|B-verb.phenomenon|B-verb.possession	
4-5	en	en	PI:s-uc:--:----	O	
4-6	brat	brat	AC:siuc:--:p---	O	
4-7	ende	ende	NC:siuc:--:----	B-noun.location|B-noun.body|B-noun.act|B-noun.object	
4-8	,	,	ZD	O	
4-9	da	da	CS:----:--:----	O	
4-10	de	de	PP:p-n#:--:-3n-	O	
4-11	brød	bryde	VF:----:ta:----	B-verb.possession|B-verb.act	
4-12	med	med	T-:----:--:----	O	
4-13	hinanden	hinanden	PC:p-u-:--:----	O	
4-14	i	i	T-:----:--:----	O	
4-15	februar	februar	NC:siuc:--:----	B-noun.time	
4-16	efter	efter	T-:----:--:----	O	
4-17	et	en	PI:s-un:--:----	O	
4-18	halvt	halv	AC:siun:--:p---	B-adj.phys	
4-19	års	år	NC:sign:--:----	B-noun.time	
4-20	kissemissen	kissemisse	VG:siuc:--:----	O	
4-21	.	.	ZP	O	

#id=5
#text=ForCaroline er ganske enkelt blevet produktets nye ansigt.
5-1	For	for	T-:----:--:----	O	
5-2	Caroline	Caroline	NP:siu#:--:----	O	
5-3	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
5-4	ganske	ganske	D-:----:--:u---	O	
5-5	enkelt	enkel	AD:----:--:p---	B-adj.all	
5-6	blevet	blive	VT:siu#:t-:----	B-verb.TOP|B-verb.act|B-verb.stative	
5-7	produktets	produkt	NC:sdgn:--:----	B-noun.quantity|B-noun.artifact	
5-8	nye	ny	AC:sdu#:--:p---	B-adj.time	
5-9	ansigt	ansigt	NC:siun:--:----	B-noun.phenomenon|B-noun.person|B-noun.artifact|B-noun.body	
5-10	.	.	ZP	O	

#id=6
#text=-supersprød sangstjerne, er blevet mor.
6-1	-	-	NC:piu#:--:----	O	
6-2	supersprød	supersprød	AC:siuc:--:p---	O	
6-3	sangstjerne	sangstjerne	NC:siuc:--:----	B-noun.person	
6-4	,	,	ZD	O	
6-5	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
6-6	blevet	blive	VT:siu#:t-:----	B-verb.TOP|B-verb.act|B-verb.stative	
6-7	mor	mor	NC:siuc:--:----	B-noun.animal|B-noun.person|B-noun.communication	
6-8	.	.	ZP	O	

#id=7
#text=Og ifølge Kitten er det helt ufarligt for Kisses.
7-1	Og	og	CC:----:--:----	O	
7-2	ifølge	ifølge	XY:----:--:----	O	
7-3	Kitten	kitte	VG:siuc:--:----	O	
7-4	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
7-5	det	det	PP:s-un:--:-3n-	O	
7-6	helt	hel	AD:----:--:p---	B-adj.phys	
7-7	ufarligt	ufarlig	AD:----:--:p---	O	
7-8	for	for	T-:----:--:----	O	
7-9	Kisses	Kisses	NP:siu#:--:----	O	
7-10	.	.	ZP	O	

#id=8
#text=-storsmilende fartdjævel, har fået lov til at skrive forord til racerkammeraten Jan Magnussens nye bog " En fiaskos perfekte liv", som de begge præsenterede forleden.
8-1	-	-	NC:piu#:--:----	O	
8-2	storsmilende	storsmilende	AD:----:--:p---	O	
8-3	fartdjævel	fartdjævel	NC:siuc:--:----	O	
8-4	,	,	ZD	O	
8-5	har	have	VF:----:sa:----	B-verb.perception|B-verb.cognition|B-verb.act|B-verb.communication|B-verb.phenomenon|B-verb.TOP	
8-6	fået	få	VT:siu#:t-:----	B-verb.change|B-verb.act|B-verb.phenomenon|B-verb.possession	
8-7	lov	lov	NC:§§u§:--:----	B-noun.motive|B-noun.attribute|B-noun.act|B-noun.cognition|B-noun.institution	
8-8	til	til	T-:----:--:----	O	
8-9	at	at	UI:----:--:----	O	
8-10	skrive	skrive	VI:----:-a:----	B-verb.creation|B-verb.communication	
8-11	forord	forord	NC:siun:--:----	B-noun.communication	
8-12	til	til	T-:----:--:----	O	
8-13	racerkammeraten	racerkammerat	NC:sduc:--:----	O	
8-14	Jan	Jan	NP:siu#:--:----	O	
8-15	Magnussens	Magnussens	NP:sig#:--:----	O	
8-16	nye	ny	AC:sdu#:--:p---	B-adj.time	
8-17	bog	bog	NC:siuc:--:----	B-noun.communication|B-noun.plant	
8-18	"	"	ZI	O	
8-19	En	en	PI:s-uc:--:----	O	
8-20	fiaskos	fiasko	NC:sigc:--:----	B-noun.act	
8-21	perfekte	perfekt	AC:sdu#:--:p---	B-adj.all	
8-22	liv	liv	NC:siun:--:----	B-noun.object|B-noun.phenomenon|B-noun.time|B-noun.body|B-noun.person|B-noun.attribute|B-noun.feeling|B-noun.state|B-noun.event	
8-23	"	"	ZI	O	
8-24	,	,	ZD	O	
8-25	som	som	US:----:--:----	O	
8-26	de	de	PP:p-n#:--:-3n-	O	
8-27	begge	begge	PM:p-u#:--:----	O	
8-28	præsenterede	præsentere	VP:p#u#:t-:----	B-verb.act|B-verb.communication	
8-29	forleden	forleden	AD:----:--:p---	B-adj.time	
8-30	.	.	ZP	O	

#id=9
#text=Selvom det var blevet mørkt i hovedstaden, var det iført store solbriller, at hun gik ind på scenen og fyrede to numre af fra sit nye, engelsksprogede album.
9-1	Selv	selv	D-:----:--:u---	O	
9-2	om	om	T-:----:--:----	O	
9-3	det	det	PP:s-un:--:-3n-	O	
9-4	var	være	VF:----:ta:----	B-verb.TOP|B-verb.social|B-verb.stative	
9-5	blevet	blive	VT:siu#:t-:----	B-verb.TOP|B-verb.act|B-verb.stative	
9-6	mørkt	mørk	AD:----:--:p---	B-adj.phys|B-adj.all	
9-7	i	i	T-:----:--:----	O	
9-8	hovedstaden	hovedstad	NC:sduc:--:----	B-noun.location	
9-9	,	,	ZD	O	
9-10	var	være	VF:----:ta:----	B-verb.TOP|B-verb.social|B-verb.stative	
9-11	det	det	PP:s-un:--:-3n-	O	
