 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=For mange seere er den 61-årige journalist som kommentator næsten lige så vigtig som selve kampene.
1-1	For	for	CC:----:--:----	O	
1-2	mange	mangen	AC:p#u#:--:p---	O	
1-3	seere	seer	NC:piu#:--:----	B-noun.person	
1-4	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
1-5	den	den	PM:s-uc:--:----	O	
1-6	61	61	LW:----:--:----	O	
1-7	-	-	ZH	O	
1-8	årige	årig	AC:sdu#:--:p---	O	
1-9	journalist	journalist	NC:siuc:--:----	B-noun.person	
1-10	som	som	US:----:--:----	O	
1-11	kommentator	kommentator	NC:siuc:--:----	B-noun.person	
1-12	næsten	næsten	D-:----:--:u---	O	
1-13	lige	lige	-	O	
1-14	så	så	D-:----:--:u---	O	
1-15	vigtig	vigtig	AC:siuc:--:p---	B-adj.all	
1-16	som	som	US:----:--:----	O	
1-17	selve	selve	AC:§§u§:--:p---	O	
1-18	kampene	kamp	NC:pdu#:--:----	B-noun.act|B-noun.motive	
1-19	.	.	ZP	O	

#id=2
#text=Deter jo ikke kun den ene vej, forklarer den 32-årige fodboldspiller, som har en kæreste og et barn på seks år.
2-1	Det	det	PP:s-un:--:-3n-	O	
2-2	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
2-3	jo	jo	D-:----:--:u---	O	
2-4	ikke	ikke	D-:----:--:u---	O	
2-5	kun	kun	D-:----:--:u---	O	
2-6	den	den	PM:s-uc:--:----	O	
2-7	ene	ene	AC:§§u§:--:p---	O	
2-8	vej	vej	NC:siuc:--:----	B-noun.motive|B-noun.location|B-noun.quantity|B-noun.TOP	
2-9	,	,	ZD	O	
2-10	forklarer	forklare	VF:----:sa:----	B-verb.communication	
2-11	den	den	PM:s-uc:--:----	O	
2-12	32	32	LW:----:--:----	O	
2-13	-	-	ZH	O	
2-14	årige	årig	AC:sdu#:--:p---	O	
2-15	fodboldspiller	fodboldspiller	NC:siuc:--:----	B-noun.person	
2-16	,	,	ZD	O	
2-17	som	som	US:----:--:----	O	
2-18	har	have	VF:----:sa:----	B-verb.perception|B-verb.cognition|B-verb.act|B-verb.communication|B-verb.phenomenon|B-verb.TOP	
2-19	en	en	PI:s-uc:--:----	O	
2-20	kæreste	kæreste	NC:siuc:--:----	B-noun.person	
2-21	og	og	CC:----:--:----	O	
2-22	et	en	PI:s-un:--:----	O	
2-23	barn	barn	NC:siun:--:----	B-noun.person	
2-24	på	på	T-:----:--:----	O	
2-25	seks	seks	LC:--u-:--:----	O	
2-26	år	år	NC:piu#:--:----	B-noun.time	
2-27	.	.	ZP	O	

#id=3
#text=I dag er han clean, men næsten ti års misbrug har sat sine tydlige spor hos den 34-årige skuespiller.
3-1	I	i	T-:----:--:----	O	
3-2	dag	dag	NC:siuc:--:----	B-noun.time	
3-3	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
3-4	han	han	PP:s-nc:--:-3n-	O	
3-5	clean	clean	AD:----:--:p---	O	
3-6	,	,	ZD	O	
3-7	men	men	CC:----:--:----	O	
3-8	næsten	næsten	D-:----:--:u---	O	
3-9	ti	ti	LC:--u-:--:----	O	
3-10	års	år	NC:pig#:--:----	B-noun.time	
3-11	misbrug	misbrug	NC:siun:--:----	B-noun.act	
3-12	har	have	VF:----:sa:----	B-verb.perception|B-communication|B-verb.cognition|B-verb.act|B-verb.phenomenon|B-verb.TOP	
3-13	sat	sætte	VT:siu#:t-:----	B-verb.motion|B-verb.cognition|B-verb.act|B-verb.communication|B-verb.change|B-verb.phenomenon	
3-14	sine	sin	PO:p--#:--:-3ys	O	
3-15	tydlige	tydlige	AC:§§u§:--:p---	O	
3-16	spor	spor	NC:siun:--:----	B-noun.motive|B-noun.phenomenon|B-noun.location|B-noun.artifact|B-noun.object	
3-17	hos	hos	T-:----:--:----	O	
3-18	den	den	PM:s-uc:--:----	O	
3-19	34	34	LW:----:--:----	O	
3-20	-	-	ZH	O	
3-21	årige	årig	AC:sdu#:--:p---	O	
3-22	skuespiller	skuespiller	NC:siuc:--:----	B-noun.person	
3-23	.	.	ZP	O	

#id=4
#text=Heldagsudflugtenkoster 1995 kr., men så er der også garanti for store oplevelser.
4-1	Heldagsudflugten	heldagsudflugt	NC:sduc:--:----	B-noun.act	
4-2	koster	koste	VF:----:sa:----	B-verb.stative	
4-3	1995	1995	LC:--u-:--:----	O	
4-4	kr	krone	NC:piu#:--:----	O	
4-5	.	.	ZP	O	
4-6	,	,	ZD	O	
4-7	men	men	CC:----:--:----	O	
4-8	så	så	D-:----:--:u---	O	
4-9	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
4-10	der	der	US:----:--:----	O	
4-11	også	også	D-:----:--:u---	O	
4-12	garanti	nti	NC:siuc:--:----	B-noun.quantity|B-noun.motive	
4-13	for	for	T-:----:--:----	O	
4-14	store	stor	AC:p#u#:--:p---	B-adj.phys	
4-15	oplevelser	oplevelse	NC:piu#:--:----	B-noun.act|B-noun.feeling	
4-16	.	.	ZP	O	

#id=5
#text=Det er tophemmeligt, men jeg er simpelthen så glad og lykkelig, fortalte han, da han præsenterede sit sidste nye værk, en bog om Roms små listige sidegaderestauranter på restauranten La Buca i København.
5-1	Det	det	PP:s-un:--:-3n-	O	
5-2	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
5-3	tophemmeligt	tophemmelig	AC:siun:--:p---	O	
5-4	,	,	ZD	O	
5-5	men	men	CC:----:--:----	O	
5-6	jeg	jeg	PP:s-nc:--:-1n-	O	
5-7	er	være	VF:----:sa:----	B-verb.TOP|B-verb.social|B-verb.stative	
5-8	simpelthen	simpelthen	D-:----:--:u---	O	
5-9	så	så	D-:----:--:u---	O	
5-10	glad	glad	AC:siu§:--:p---	B-adj.mental|B-adj.all	
5-11	og	og	CC:----:--:----	O	
5-12	lykkelig	lykkelig	AC:siuc:--:p---	B-adj.mental	
5-13	,	,	ZD	O	
5-14	fortalte	fortale	VF:----:ta:----	B-verb.communication	
5-15	han	han	PP:s-nc:--:-3n-	O	
5-16	,	,	ZD	O	
5-17	da	da	CS:----:--:----	O	
5-18	han	han	PP:s-nc:--:-3n-	O	
5-19	præsenterede	præsentere	VF:----:ta:----	B-verb.act|B-verb.communication	
5-20	sit	sin	PO:s--n:--:-3ys	O	
5-21	sidste	sidste	AC:§§u§:--:p---	B-adj.time	
5-22	nye	ny	AC:sdu#:--:p---	B-adj.time	
5-23	værk	værk	NC:siun:--:----	B-noun.building|B-noun.TOP|B-noun.feeling|B-noun.artifact	
5-24	,	,	ZD	O	
5-25	en	en	PI:s-uc:--:----	O	
5-26	bog	bog	NC:siuc:--:----	B-noun.communication|B-noun.plant	
5-27	om	om	T-:----:--:----	O	
5-28	Roms	Rom	NP:sig#:--:----	B-noun.artifact|B-noun.food	
5-29	små	lille	AC:p#u#:--:p---	B-adj.phys	
5-30	listige	listig	AC:p#u#:--:p---	B-adj.mental	
5-31	sidegaderestauranter	sidegaderestaurant	NC:piu#:--:----	O	
